,text,label
171,ดูไป อึดอัดไป บางตรรกะ มุมมอง ถึงกับขมวดคิ้ว ,neg
1443,สนุกมากกกกกกก เเต่ตอนจบก้คือ เเม่ เกาหรี ขอร้อง ,pos
1345, ดูจบแล้ว ชอบอ่ะ เดี๋ยวตื่นแล้วจะมาอวยต่อ ไปนอนก่อน 8 ตอนยาวกว่าที่คิด เลยเวลานอนเลอ,pos
244,อันนี้น่ารักมากเลยย แง🥺 ,pos
354,เป็นอีกเรื่องที่อินไปตามความรู้สึกของตัวละคร อินไปตามสิ่งที่ตัวละครกำลังเจออะ สูญเสียครอบครัว พยายามจับคนร้ายแต่มันเหี้ยเกินกว่าจะให้จับได้ง่ายๆ ผิดพลาดก็หลายครั้งอะ แต่สุดท้ายก็สำเร็จ พอจบแล้วก็คิดถึงเลยต้องมาทวีต ดูมา16ตอนเหมือนได้สืบไปกับทีม Mad dog เลย ._.,pos
3436,ซีรีส์นี้ไม่สนุกเลย,neg
1572,เมื่อวานดู  รวดเดียวถีงตีสามไปเลย สนุกมาก ตอนแรกว่าจะแบ่งครึ่งๆ สรุปยาวววไปเลย,pos
362,เนือย  เหลือ 6 ตอนก็ได้นะ ,neg
3073,ชั้นจะเป็นบ้ากับเรื่องนี้ อยากทึ้งหัวตัวเอง  อาทิตย์หน้าเอายัง โฮฮฮฮฮฮฮ😭  ,neu
2932,ส้มป่อย ,neu
1677,ดูจบแล้วค่า  สนุกดี ชอบความอวกาศ น้ำ mitosis ได้อ่ะ จินตนาการกว้างไกลมากอ่ะคนเขียนบท ตัวร้ายเดาทางได้ไม่ยาก ตอนจบเซอร์ไพรส์อยู่นะ ลุงกงเท่ อีจุนก้เท่ จอบอ,pos
1576, สนุกมาก มีปมอะไรให้คิดเยอะเลย ทั้งสิ่งมีชีวิตในสถานีวิจัย สาเหตุการตายประหลาด แคปซูลตัวอย่างที่เอากลับไป ไหนจะปัญหาร้อยแปดที่ต้องติดต่อกับสถานีบนโลกเพื่อมีชีวิตรอดกลับไปอีก ลุ้นตามทุกตอน,pos
3387,อูชิกถ่ายกับผญคนอื่นเขาจะหันข้าง แต่พอถ่ายกับดามีเขาพร้อมจะหันเข้าหาอะแก แล้วดูมือพี่แกดิ โอ้ย อหอหอหอหอห  ,neu
1548,สงสัยวันนี้ค่ายของนักแสดง  นัดกันอัพภาพเบื้องหลังกันหมด ㅋㅋㅋㅋㅋㅋ,neu
370,มากี่โมง ,neu
2092,"""ได้เวลาทำภารกิจป่วน หยุดดาวหาง ก่อนโลกวินาศ!"" หนังฟอร์มยักษ์จากเค้าโครงเรื่องจริงที่ (ยัง) ไม่เคยเกิดขึ้น! จัดเต็มรวมดาราแถวหน้า Hollywood ส่งท้ายปีจาก Netflix ผลงานเรื่องล่าสุดของ Adam McKay จาก The Big Short วันนี้ที่  เท่านั้น ูIT ",neu
2171,ประยุทธ์คนเดียวก็ยิ่งกว่าปธน. ใน  แล้วววว นึกถึงไดอะล็อกนึงในหนังประมาณว่าประชาชนมองรัฐเป็นตัวร้ายที่ฉลาดเกินไป ความจริงมันโง่ โง่แบบอิควายยยยยยยยย เลวด้วย มีปัญหาก็ไม่ต้อง look up นะ ไปเลี้ยงไก่นะ,neu
1586,Netflix 4k พร้อมส่ง🌵26 วัน 80 บาท🍄35 วัน 120 บาท-จอส่วนตัว-รับประกันตลอดการใช้งานLine☄️ netflixราคาถูก   ูก         ,neu
1786,แค่ดูการแสดงของแบดูนาก็คุ้มแล้วเรื่องนี้  ,neu
3345,ยอนซูเป็นคนที่รู้จักและปกป้องอุงเหมือนที่ผ่านมา … เป็นฝ่ายชัดเจนในความรู้สึกตัวเองว่าอยากกลับไปคบกันอีก น้ำตาของคนที่รู้สึกผิดที่เคยทิ้งอุงและอยากกลับไปหาอุง สงสารยอนซู 😭    ,pos
242,เช้าวันนี้อากาศน่านอนต่อมาก ,neu
2890,ดีใจจังส้มป่อยขึ้นมาอันดับ2แล้ว​      ,neu
839,หน้าตัวเมียฆ่าเมียตัวเองตาย ตรก็ไม่ทำไร ไม่ได้ความเป็นธรรม พีระศิลป์ ประพฤทธิ์ตระกูล ันดียังไง        ,neg
3030,แล้วชั้นเชียร์พี่แวนเว่อ ,neu
1536,อุแว้  ,pos
2953,ส้มป่อยขึ้นอันดับ2แล้วดีใจกับน้องตี๋ด้วย      ,neu
365,น้อนลูน่า 073  ,neu
3138,ต้องให้ถึงมือคุณย่า!!  ,neu
3074,เรื่องเล่าในมุมอุงมาตลอด แต่พอยอนซูล็อกประตูห้องน้ำคลิกเดียว แม่งเข้าใจทันทีเลยว่าเจ็บปวดแตกสลายไม่ต่างกัน ชอบที่ซีนนี้ไม่ให้ได้ยินเสียงร้องเลยด้วย ให้ลองตีความ 1.ยอนซูไม่อยากให้ใครได้ยิน 2.ยอนซูปิดกั้นตัวเอง ร้องดังแค่ไหนก็ไม่มีใครได้ยิน  ,pos
1722,เสียงอีจุนใน  หล่อมากกก แค่ได้ยินเสียงก็แบบ ฉันรักเค้าสาา,pos
2735,โห่ ไกล,neg
2927,โดนอ้ายแซ้ปตกแล้ว1  ,neu
3352,เป็นเรื่องที่ดูไปขัดใจไปอ่ะ คือเราไม่ชอบความซับซ้อนแบบนี้เลย คือต่างฝ่ายต่างก็ยังชอบกันไง แต่ก็ไม่ยอมพูดกัน เรื่องมันเลยเป็นแบบนี้ ดูไปก็แบบเมื่อไหร่จะจบ เมื่อไหร่จะยอมรับใจตัวเองซักที หรือว่ากุอิน 55555  ,pos
1378,ถึงอิพี5แน้วววจะได้นอนมุ้ยยดูเพลิน😂 ,neg
800,พ่อโดจีแท พี่ต้มเล้งของน้อง รักเค้าาา ♥️  ,pos
2870,ดีใจกับอ้ายแซ้ปขึ้นมาอันดับ2แล้ว🥳      ,pos
1051,ดูไป 4 ตอน ตาบวมหมดแล้ว ,pos
2245,สนุกมากๆ ,pos
3406,ไม่รู้จะให้บทNJดูน่าสงสารรึป่าวนะ แต่ชั้นไม่สงสาร ไม่เลย ฮืออออ ออกปั้ยยยย ,neg
1738,กงยูไม่ตายยยยย!!!!! ถ้าตายคือกุไม่ดูต่อนะถ้ามีซีซั่นหน้า ดีที่ไม่ตาย ,neu
2013,ดูแล้วหงุดหงิดหว่ะอิดอก ,neg
1854,คิดว่าบนสถานีอวกาศยิงปืนไม่ได้มาตลอด แบบกลัวไปยิงโดนผนังแล้วทะลุ สรุปในชีวิตจริงมันยิงได้ไหม,neu
135,10/10 คือดูแล้วอินมาก  ,pos
3023,ตี๋ตี๋​พระเอกส้มป่อย​หนุ่มเหนือ​       ,neu
275,น่ารัก​กกกกกกก​ 🥰,pos
2620,ทำไมมีแต่คนว่าเอ็มนะ จริงๆนังแกเบรียลก็ผิด ความสัมพันธ์แบบนี้ปรบมือข้างเดียวไม่ดังหรอก นางแสดงออกมาตลอดว่าอยู่ปารีสเพื่อนางเอก แต่ตอนจบss2 ให้คามิลล์มาอยู่ด้วย งง ,neu
1108, แต่ตอนจบไม่ผิดคาดแบบที่คิดไว้เท่าไหร่ ฮืออออ,neg
2394,ก็ว่าทิโมธีหน้าคุ้น โอเค Call me 1 interstellar 1 ในเรื่องนี้โคตรน่ารักอะ ,pos
2626,ผู้ชายเห้สุดละ นางเอกกุก้ลำไย แต่ชั้นชอบมินดี้เพื่อนนางนะ ตลก ร้องเพลงเพราะด้วย เดอะเบสคือขุ่นแม่ซิลวี่จ้า ไอเลิฟ 😍😍 แต่จบค้างชิบหาย  ,pos
2576, เริ่ม,neu
2534,"รางวัลสมทบหญิงปีนี้อยากให้คนนี้ได้""คิมชินรก""แสดงสมจริง เป็นธรรมชาติมากเราดูเค้ามา 3 เรื่องเล่นดีทุกเรื่อง และเล่นแตกต่างกันทุกเรื่อง ชอบที่เค้าเล่นได้โคตรเรียล เข้าไปถึงจิตใจตัวละคร โดยเฉพาะ Hellbound แสดงสมจริงมาก ",pos
2578,✨ ดาวน์โหลดแอปฯ Viu ดูซีรีส์ฟินกว่าเดิม &gt;&gt; ⭐ เรื่อง ▶ ซับไทย  ,neu
3432,หนังไม่สนุกเลยจริงๆนะ,neg
2131, อย่ามองบนนั้น!​ข้างบนมีอะไรเหรอ? มีดาวหางเหี้ยๆที่จะทำให้โลกฉิบหาย​ อย่าไปมองๆ​ ใช้ชีวิตแบบไม่ต้องมองข้างบนกันเถอะ แม้ว่าข้างบนมันจะทำความฉิบหาย​ให้ประเทศขนาดไหนก็อย่ามองค่ะ​ ให้มองข้างหน้าเอาไว้​ มองปากท้องก็พอนะคะ​ อย่าคิดมาก​ อย่าคิดถึงอนาคต​นะคะประชาชน ,neu
2759,เสียเวลา,neg
2675,เซ็ง,neg
2104,ดูไป 20 นาที คือหงุดหงิดได้แล้วมาทีละเรื่องๆเลย 55555 ,neu
58,กูเพิ่งได้ดู มึงว่าฉากนี้คุ้นมะ เหมือนเคยเห้นที่ไหนมาก่อน  ,neu
429,NETFIX4K✧₊˚62 บาท 35วัน 🎅🏻⟡ จอไทยแท้100%⟡ ล็อคจอได้⟡ พากย์ไทยซับ⟡ รับประกัน35วันไม่ต้องรอมีIDสำรองให้,neu
2481,เป้าหมายแรกในปีใหม่ วันที่1  รวดเดียวจบ,neu
2610,มึง เอมิลี่ช้าไปนิดเดียว อีสัส กุจะบ้าอะ ต้องเกเบรียลเท่านั้น ซซ.3มาแน่ ,neu
816,ตามรอย ‘Emily in Paris’ ซีซัน 2 กับ St.Tropez เมืองชายทะเลที่แปลกตาและเต็มไปด้วยสีสันอ่านต่อที่   ,neu
2448,ดูมา 5 ตอน จะตีหน้าเศร้าเล่าความเท็จ หรือ มวยล้มต้มคนดู แต่ชอบ   เล่นได้ดีซีนร้องไห้แบบกดดันสิ้นหวัง  เอาตัวรอดไงในคุกอีก   ,pos
2582,"พี่โดจีแทคือบั่บบ,,โอ้ยย กร้าวใจมากกก  โผล่มาแต่ละทีก็คือ เย็นไว้กุเย็นไว้ จะใจสั่นไม่ได้นะ แงแอ~~~ แต่พี่คะ พี่จะได้ออกจากคุกก่อน หรือจะเป็นมะเร็งก่อนคะ พี่สูบบุหรี่ทุกครั้งที่โผล่มาเลยค่ะ ถึงจะกร้าวใจมากแค่ไหน แต่เป็นห่วงสุขภาพพี่นะคะ 5555555 ",pos
283,ความรู้สึกของคนทางบ้าน เหม็นความรักไม่ไหววว จร้าๆๆ รักกันเข้าไปปป  ,pos
3363,"กุกยอนซู ที่คนอื่นเห็น : ยัยตัวร้าย ,เห็นแก่ตัว,ไม่แคร์ใคร 😈🤬🐍🐊กุกยอนซู ที่ชเวอุงเห็น : ลูกแมวขนฟูๆขี้อ้อน น้อนก็ตัวแค่เนี้ยย 👌🏻 🐬🐱  ",neu
144,ให้ 4/10 แม่งไม่สุดสักอย่าง,neg
2027,เอ้าาาา นึกว่าหนังวิทยาศาสตร์จ๋าๆๆ ผิดคาดสุด โคตรจี้ บ้ามากกก ล้อเลียน จิกกัด หยิกหลังเลือดออก ละขนคนมาทั้งวงการ 55555 แนะนำเลย สิ้นปีไม่มีแพลนก็อยากให้ดูเรื่องนี้ ลีโอเก่งสัสๆ เรื่อยๆมาเรียงๆและมาระเบิดบู้มม!!!คริส อีแวนเป็นสบิ่มนะเรื่องนี้ 5555    ,pos
3380,꒰ พร้อมส่ง🍒 ꒱Netflix Uhd4k🥤ꔛ 7 d 40฿ꔛ 30 d 100฿รอʚ ฟอลลด5฿🛒🌈ʚ ล็อครหัส จอเดี่ยว แอคไทยʚ dm/line:   ูก netfilx       ,neu
3193,"จริงๆตั้งใจจะสื่อว่าอันยอง=ลาก่อน รึป่าวนะ ""ลาก่อน โซลเมทของชั้น"".. แน่ๆๆๆเลย!!! คือทุกepเนื้อหาตอบโจทย์ชื่อตอนหมด ดูep10ยันepilogueจบก็คิดแหละคงสื่อว่าโซลเมทคือ2คนนี้แต่ไปติดใจที่นฟ.แปล สวัสดีเนื้อคู่ของชั้น จนลืมไปเลยว่าอันยองก็แปลว่า ลาก่อนเหมือนกัน อุงอุงง🥺  ",neu
2547,ไม่พูดเล่น เพิ่งดู  รอบสองจบเมื่อกี้สดๆร้อนๆ ตอนเหลือราวๆ 45 นาทีชีคุณแม่มานั่งดูข้างๆ สักพักเห็นพี่ซูฮยอนกับฉากที่โคตรลุ้น สักพักเห็นน้องยูจองลูกชี สักพักอยากรู้เรื่องราว สักพักขอให้พาดู กุจะดูสีรี่เรื่องนี้สามรอบติดจริงๆหรอพี่ 😂😭 /ตอบ จริง,pos
226,องค์ประกอบ ฉาก แสง สี เรื่องนี้คือได้ฟีลอบอุ่นทุกซีนเลย อยากขอบคุณผู้กำกับ ทีมเบื้องหลังทุกคน ที่ใส่ใจทุกรายละเอียด เป็นซีรี่ย์อีกเรื่องที่เรียกรอยยิ้มและเสียงหัวเราะจากเราได้เยอะมาก ขอให้เรื่องนี้ได้รับรางวัลเยอะๆทีเถอะ สาธุ!!!!❤️🙏  ,pos
687,อีปีเตอร์โคดเหมือนหมอยงชิบหาย เหมือนยันสีผม  ,neu
2317,โอเคฉันจะดู​ ​ อีกรอบนึงแบบพากย์ไทย​ ถึงพริกถึงขิงอินเนอร์มาเต็มมาก​ ชอบบบบ,pos
611,แม่งเง้ยยย เหมือนประเทศไทยชิบหาย ,neu
1027,ประโยคที่อุงบอกว่าตั้งแต่วินาทีแรกที่เจอยอนซูอีกครั้ง ตัวเองก็รู้อยู่แล้วว่าจะกลายเปนแบบนี้ มันทำให้รู้เลยว่าอุงรอยอนซูมานานมาก ไม่เคยลืมไม่เคยเลิกรัก อะไรที่ทำด้วยกัน ที่ไหนที่ไปด้วยกัน คำสัญญาอะไรจำได้หมด ยอนซูยังเป็นรักแรกและรักเดียว ,neu
2203,  หนังตลกร้าย เสียดสีสังคมที่ว่าด้วยเรื่องราวการค้นพบดาวหางขนาดใหญ่ที่กำลังจะพุ่งชนโลกในอีก 6 เดือนข้างหน้า แต่รัฐบาลกลับเลือกที่จะปิดหูปิดตาประชาชน จะบอกว่าเป็นการเล่าเรื่องราวที่น่าสนใจมากแถมสะท้อนสังคมได้เจ็บแสบ โคตรจริง ถ้าเรามีผู้นำโง่ เราจะตายห่ากันหมด  ,pos
897,สนุกกว่าที่คิดเยอะเลย แบบได้หัวเราะแรง ๆ หลายฉากเลย ส้มป่อยก็ธรรมชาติหลาย อู้กำเมืองน่าฮักขนาด อ้ายแวน อ้ายแซ้ปนี่ก็ดี๊ 😚👍 ,pos
2975,เรื่องส้มป่อยคือลุ้นมากจะร้องไห้ตอนแซ้ปขับรถตามก็คือหมั่นไส้แวนมาก แต่จบดีมากน่ารัก❤️🤏🏻 ,pos
451,อยากทำซซ.2 ต่อนะ จบแค่ส่งยานมารับผู้รอดชีวิตเอง อยากรู้การวิจัยน้ำจากดวงจันทร์จะเป็นยังไง ยังมีจุดที่น่าสงสัยอีกเยอะ   ,pos
2532,Surprise~~~ 🎉🎉🎉คิมซูฮยอนฝากข้อความมาขอบคุณแฟนไทย ที่ส่งรถกาแฟและรถของว่างที่กองถ่ายทำ  ทุกคนยังจำที่แฟนไทยได้ส่งFood Support ให้กับซูฮยอนกันได้ไหมคะ 😊 ครั้งนั้นเราได้ส่งการ์ดพร้อมคำถามให้ด้วย ซึ่งเราได้สิ่งนั้นกลับมาถึงมือแล้วค่า~ เย่!เรามาชมกันเลยค่ะ😍 ,neu
4,โอ้ยย อยากดู ss2  ,pos
2991,ดูเพลิน ดูสนุกอยู่นะ ชอบความบ้าบอของนางเอก แล้วก็โดนน้องแซ้ปตกเฉย เวลาทำอาหารอบอุ่นมาก แต่ซีนที่แม่นางเอกพาไปหาพ่อหมอคือซึมเหมือนกันนะ พ่อหมอเล่นแบบดีมาก ต้องใช้เสียงร่างทรงในอารมณ์แบบนั้น ดึงไปเศร้าด้วยเลย อยากมีแฟนที่รับความบ้าบอของเราได้และพร้อมจะบ้าไปด้วยกัน 555555  ,pos
1218,211222 งานเพรสทะเลสงัด พี่กงยูหล่อมากๆค่ะ เลิกงาน! ทำต่อไม่ไหว   ,neu
538,ดูรวดเดียวจบกับ ซีรีย์เกาหลี  โปรดักส์ชันกราฟฟิกไปไกลแล้วติดนิดเดียว ขัดใจตอนจบ แอบค้าง สงสัยมีซีซั่น 2 ต่อ 😤,pos
1295,ตัวละครที่กูชอบตายอีกแล้ว !!!! มึงจะเว้นให้กูสักเรื่องได้มั้ยเนี้ย!!!!!! พี่หน้าตกกละสุดเท่ของกู ฮือ ;-; ,pos
452,ดู  🌔💦 ผ่านมาครึ่งทางแล้ว มหากาพย์มากแม่ เป็นการดูที่เหนื่อยแต่สนุก ลุ้นตลอดเวลาว่าจะมีอะไรไม่ชอบมาพากลเกิดขึ้นอีก ตัวละครเท่ทุกตัวเลย เดี๋ยวมาต่อวันพรุ่งนี้ จะจบแบบไหนไม่รู้แต่ตอนนี้ชั้นเอียนน้ำมาก ฉากนั้นมันติดตาอ่ะ,pos
3350,อุงไปกินข้าวที่บ้านยอนซู? ข้ามไปตอนซับไทยออกได้เลยไหมคะ อยากดู๊วววววววว ,pos
174,เป็นDOCที่ดูแล้วชอบเลย มุมกล้องสวย ตัดต่อดี เป็นสื่อกลางแบบ 'ให้ข้อมูล' มุมมองต่อพลังศรัทธา การใช้อำนาจ ศาสนา การเมือง  ,pos
1409,สนุกอะ ลุ้นทุกฉาก ดีงามมากทุกคนต้องดู ,pos
2432, คดีก็เข้มข้น แต่ในเรือนจำเข้มข้นกว่า สงสารฮยอนซูมาก กูจะบ้าตายแทน แต่ละคนแต่ละอย่าง  แต่คิดว่ามันเรียลมากเลยนะในเรือนจำคงแบบนี้แหละ แต่ยังดีที่โดจีแทดูเหมือนจะถูกชะตา ส่วนทนายชินเฮียต้องกลับมาแน่ เฮียแกต้องเอาคดีกลับมาทำ เคมีมันดีมาก  ,pos
2937,อ้ายแซ้ป คนหล่อของแม่ กึ๊ดเติงหาตั๋วเน้อออออ 😍😍😍   ,pos
1124,เปิดเรื่องใหม่อีกแล้วคร่าคุณนอนอ😅  ,pos
2681,บ่ 👿,neg
3398,อะพอ กูขอหยุดไว้แค่นี้ คืนดีกันเมื่อไรจะกลับไปดูนะ คือมันไม่ฮีลใจใดๆ ยิ่งทำให้ปวดหัวยิ่งขึ้นไปอีก ฉันต้องการรอมคอม หวานๆ ยูวโน้วววว?    ,neu
3238,ชอบภาพ ชอบมุมกล้อง ชอบการตัดต่อของ  มาก ดีไม่พักเลย,pos
2149,นั่งดูคลิป Ariana ใน  วนไปแล้วรู้สึกว่าเอ้อ มันต้องขนาดนี้เลยนะ ชอบมาก 55555555,pos
1269,​ นี่น่าจะออกเเนวดราม่า​ ​ อันนี้ออกเเนวตลกปนๆ​มาพร้อมกันใน​ Netflix​ อีก​ ตั้งตารอดูมากพรุ่งนี้,pos
2458, เข้มข้นมาก ตัวละครเชือดเฉือนกันทุกฉาก สะท้อนกระบวนการยุติธรรมละเอียดยิบ ตั้งแต่พบทนาย สั่งฟ้อง ขอหมายขัง สถานการณ์ของฮยอนซูยังไม่ดีขึ้น จบด้วยการย้ายมาอยู่เรือนจำนั่นแปลว่าหลักฐานฝั่งตำรวจและอัยการแน่นหนากว่า ต้องลุ้นกันว่าทนายจะงัดอะไรมาช่วย  ,pos
3415,โอ่ย ความอุง ความงอนถอนหายใจใส่หนึ่งทีแล้วบอกอร่อย 5555555555 แต่ก็ยังคงความอุงเสมอ 🥺   ,neu
2227,เค้าศึกษาเคสตัวอย่างจากที่ไทยป้ะไดอะล่อกโคตรใช่ ,neu
954,ดูเอ็มวีแล้วก็รสว.วันไหนที่อุงตัดสินใจวาดรูปตึกให้เอ็นเจเราคงโคตรยิ้มอ่ะ แบบอุงมูฟออนจากรักแรกได้สักทีนะ งูยยยยยย ฟิน 😝😍 มีความสุขให้ได้นะอุง ยอนซู จีอุง ,neu
2327,  หรืออีกชื่อ   โคตรเสียดสีรัฐบาลการเมืองและสังคมยุคนี้แบบเห้ยยยบ้านเขาก็มีปัญหาเหมือนกันหรอว่ะ อย่างเช่น(สปอยเล็กน้อยนะ) ตอนที่นักวิทยาศาสตร์พยายามบอกทุกคนว่าดาวหางกำลังจะพุ่งชนโลกแต่ไม่มีใครอยากฟังเรื่องปวดหัวทุกคนสนใจแต่ข่าวดาราเลิกกันคบกัน (1/3),neu
352,เทเรื่องนี้แล้ว,neg
549,ตอนดูจบก็แบบเห้ยดาวหางชนโลกนะเว้ย แม่งจะอิกนอร์ขนาดนี้จริงดิ  แต่ไปเจอคนบอกลองเปลี่ยนดาวหางเป็นภาวะโลกร้อนดิ  เออแม่งจริงว่ะ  นักวิทย์เตือนตลอด  แต่รัฐก็ไม่ทำอะไร เพราะเห็นแก่ผลประโยชน์ ปชช.ก็เฉยเมยเพราะมองว่าไกลตัว  ,neu
154,ส่วนตัวกลับไม่ได้รู้สึกสนุก จนเกือบไปทางไม่เอ็นจอย ดูเป็นงานที่หยิบจับความกระจัดกระจายแล้วมามัดรวมเป็นหนังหนึ่งเรื่อง ทุกอย่างจึงถูกดำเนินเรื่องไปด้วยความน่ารำคาญ เนื้อเรื่องและความโหดไม่มีอะไรแปลกใหม่ ความสัมพันธ์แม่ลูกมาแบบขอไปที ภาพรวมเลยเป็นหนังดูเอาผ่าน ไม่ถูกใจ  ,neg
986,พอเห็นเรื่องราวยอนซูมากขึ้นก็เข้าใจยอนซูนะ แต่ถ้ายอนซูยังไม่บอกอุงว่าตอนนั้นเลิกกันทำไม ยังไงอุงก็ไม่กล้ากลับไปคบกับยอนซูอะ เพราะกลัวว่าจะเสียยอนซูไปอีก พวกแกนั่งคุยกันเหอะ;——; ,neu
1950, อย่างกับภาพจำลองประเทศไทย การตัดสินใจของผู้นำ การทำข่าว ความอิ๊กนอร์ของคนบางกลุ่ม ต่างกันแค่ประเทศไทยไม่มีนาซ่าและยังไม่มีดาวหางมาชน,neu
2903,เป็นหนังที่ดูเพลินนะ ตี๋แสดงดีอ่ะตลกด้วย น้ำตาลก็เอาอยู่เลย แต่ใดๆจองอ้ายแวนค่ะ ,pos
554,หนังไรอะ ถามจริง 30นาทีแรกคือน่ารำคาญมาก โอ้ย ลีลา  ,neg
899,เราอยากให้จบอีกแบบอ่ะ อยากให้ส้มป่อยไปกับอ้ายแวน 5555 ,neg
